license_type,business_name,street_address,status,city,state,zip_code,phone_no,year,licence_number,full_address,active,lat,lon
Hotel and Motel License,Comfort Suites,6225 US 31 SOUTH,ACTIVE,South Bend,IN,46614,574-291-3100,2023,HTM2023-011,"6225 US 31 SOUTH, South Bend, IN, 46614",FALSE,41.6316076,-86.2507909
Restaurant (N-Z) License,TARGET STORE T-1902,1400 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-299-1402,2021,RST2021-234,"1400 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6271537,-86.228894
Restaurant (N-Z) License,Noku Asian Bistro & Sushi Bar,1240 E. Ireland Rd.,ACTIVE,South Bend,IN,46614,574-217-8683,2022,RST2022-542,"1240 E. Ireland Rd., South Bend, IN, 46614",FALSE,41.6292006,-86.231403
Restaurant (A-M) License,LaSalle Grill,"115 W COLFAX AVE, SOUTH BEND, IN, 46601",READY2ISSU,South Bend,IN,46601,574-288-1155,2023,RST2023-366,"115 W COLFAX AVE, SOUTH BEND, IN, 46601, South Bend, IN, 46601",FALSE,NA,NA
Restaurant (A-M) License,KRIS'S KOUNTRY KITCHEN,2212 Miami St,RENEWED,SOUTH BEND,IN,46613,574-251-0377,2020,709RESTAM2020,"2212 Miami St, SOUTH BEND, IN, 46613",FALSE,41.6517438,-86.2347836
Peddlers and Canvassers License,YVELOURDE ALTIDORT,2451 Atrium Way,INACTIVE,NASHVILLE,TN,37214,615-538-7539,2021,PDL2021-004,"2451 Atrium Way, NASHVILLE, TN, 37214",FALSE,36.1596235,-86.690343
Restaurant (N-Z) License,Gobel's Waka Dog Cafe,"1809 SOUTH BEND AVE, IN, 466375637",READY2ISSU,South Bend,IN,46637,574-252-4627,2023,RST2023-080,"1809 SOUTH BEND AVE, IN, 466375637, South Bend, IN, 46637",FALSE,NA,NA
Tattoo/Body Piercing Artist License,RAYMOND ROGERS,916 S 25TH ST,RENEWED,SOUTH BEND,IN,46615,NA,2021,TAA2021-005,"916 S 25TH ST, SOUTH BEND, IN, 46615",FALSE,41.6650597,-86.2118637
Restaurant (A-M) License,JUAN CAMANEY RESTAURANT,618 PULASKI ST,ACTIVE,SOUTH BEND,IN,46619,574-303-0446,2023,RST2023-053,"618 PULASKI ST, SOUTH BEND, IN, 46619",FALSE,41.6689446,-86.2752401
Peddlers and Canvassers License,ALDER HOLDINGS INC.,"450 N. 1500 W. OREM, UT  84057",INACTIVE,OREM,UT,84057,385-218-2754,2021,PDL2021-014,"450 N. 1500 W. OREM, UT  84057, OREM, UT, 84057",FALSE,NA,NA
Automotive Repair License,ART & JERRY'S AUTO SERVICE,1402 PRAIRIE AVE,RENEWED,SOUTH BEND,IN,46613,574-289-2828,2021,AUT2021-029,"1402 PRAIRIE AVE, SOUTH BEND, IN, 46613",FALSE,41.6599324,-86.2636894
Tattoo/Body Piercing Artist License,RAYMOND ROGERS,916 S 25TH ST,RENEWED,SOUTH BEND,IN,46615,NA,2022,TAA2022-001,"916 S 25TH ST, SOUTH BEND, IN, 46615",FALSE,41.6650597,-86.2118637
Restaurant (A-M) License,GOLDEN DRAGON,3227 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-232-3388,2022,RST2022-144,"3227 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6650362,-86.2943266
Lawn Parking License,1210 N. GARLAND ST.,1210 N. GARLAND ST.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-036,"1210 N. GARLAND ST., SOUTH BEND, IN, 46617",FALSE,41.6912295,-86.2269944
Restaurant (A-M) License,Insomnia Cookies,"2130 SOUTH BEND AVE, SOUTH BEND, IN, 466375640",RENEWED,South Bend,IN,46637,574-207-4154,2021,RST2021-015,"2130 SOUTH BEND AVE, SOUTH BEND, IN, 466375640, South Bend, IN, 46637",FALSE,NA,NA
Peddlers and Canvassers License,JUAN JOSE VIDAL,302 C St,INACTIVE,LA PORTE,IN,46350,859-489-5797,2021,PDL2021-006,"302 C St, LA PORTE, IN, 46350",FALSE,41.6045728,-86.7217912
Alarm Agent License,KOORSEN FIRE & SECURITY,3953 RALPH JONES DR,RENEWED,SOUTH BEND,IN,46628,574-277-3322,2021,ALR2021-055,"3953 RALPH JONES DR, SOUTH BEND, IN, 46628",FALSE,41.7302515,-86.3008087
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,ACTIVE,SOUTH BEND,IN,46613,574-233-9599,2022,TXV2022-010,"2107 S. MICHIGAN ST., SOUTH BEND, IN, 46613",FALSE,41.6519917,-86.2502962
Mobile Food Vendor (A-M) 1 Year License,KELLY BEEZ LUNCH BOX TRUCK,1401 BENDIX DR.,INACTIVE,SOUTH BEND,IN,46628,574-222-4887,2021,MFV2021-012,"1401 BENDIX DR., SOUTH BEND, IN, 46628",FALSE,41.693794,-86.293555
Alarm Agent License,COMCAST BROADBAND SECURITY LLC,1701 John F Kennedy Blvd,RENEWED,PHILADELPHIA,PA,19103,215-286-3300,2021,ALR2021-042,"1701 John F Kennedy Blvd, PHILADELPHIA, PA, 19103",FALSE,39.9547157,-75.1684999
Arborist License,DOUG'S MISHAWAKA TREE SERVICE INC.,11303 EDISON RD,RENEWED,OSCEOLA,IN,46561,574-259-5700,2021,ARB2021-031,"11303 EDISON RD, OSCEOLA, IN, 46561",FALSE,NA,NA
Restaurant (A-M) License,DON JUAN CANTINA & GRILL,3421 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-246-0331,2020,5913RESTAM2020,"3421 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6647829,-86.296236
Automotive Repair License,M & K TRUCK CENTER OF SOUTH BE,3152 MARY CT,RENEWED,SOUTH BEND,IN,46614,574-282-1230,2022,AUT2022-057,"3152 MARY CT, SOUTH BEND, IN, 46614",FALSE,NA,NA
Arborist License,LANDMARK LANDSCAPING,10882 MCKINLEY HWY,RENEWED,OSCEOLA,IN,46561,574-674-8196,2022,ARB2022-002,"10882 MCKINLEY HWY, OSCEOLA, IN, 46561",FALSE,NA,NA
Lawn Parking License,1124 N TWYCKENHAM DR,1124 N  TWYCKENHAM DR,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-040,"1124 N  TWYCKENHAM DR, SOUTH BEND, IN, 46617",FALSE,41.6898796,-86.2258242
Restaurant (A-M) License,DICKINSON FINE ARTS ACADEMY,4404 ELWOOD AVE,EXPIRED,SOUTH BEND,IN,46628,574-393-3922,2022,RST2022-448,"4404 ELWOOD AVE, SOUTH BEND, IN, 46628",FALSE,41.6935014,-86.3083087
Massage Establishment License,MASSAGE BY SUZANNE,914 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46616,574-993-7537,2022,MSE2022-011,"914 LINCOLN WAY, SOUTH BEND, IN, 46616",FALSE,41.666636,-86.2385554
Alarm Agent License,"CHSS, LLC DBA SONITROL OF SOUT",513 E McKinley Ave,RENEWED,Mishawaka,IN,46545,574-334-7478,2021,ALR2021-046,"513 E McKinley Ave, Mishawaka, IN, 46545",FALSE,41.6803627,-86.1761146
Lawn Parking License,1350 BLACK OAK DR.,1350 BLACK OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-040,"1350 BLACK OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6935968,-86.2232158
Restaurant (A-M) License,"Bellic River Group LLC, DBA Bens Soft Pretzels","1105 NORTHSIDE BLVD, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-312-5170,2022,RST2022-076,"1105 NORTHSIDE BLVD, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Precious Metal Dealer License,DIAMOND JIM'S,1601 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46613,574-288-0300,2022,PMD2022-004,"1601 LINCOLN WAY E, SOUTH BEND, IN, 46613",FALSE,NA,NA
Restaurant (N-Z) License,PIZZA HUT #34116,5113 W  WESTERN AVE,RENEWED,RALEIGH,NC,27658,574-234-5155,2020,8227RESTZ2020,"5113 W  WESTERN AVE, RALEIGH, NC, 27658",FALSE,NA,NA
Alarm Agent License,VECTOR SECURITY INC,2000 Ericsson Dr,RENEWED,WARRENDALE,PA,15086,724-741-2200,2021,ALR2021-008,"2000 Ericsson Dr, WARRENDALE, PA, 15086",FALSE,NA,NA
Restaurant (A-M) License,LA CENTRAL BAKERY,3021 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-289-2550,2021,RST2021-405,"3021 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6722199,-86.2921559
Restaurant (N-Z) License,SOUTHSIDE CHRISTIAN CHURCH,1329 E JACKSON RD,RENEWED,SOUTH BEND,IN,46614,574-291-1156,2022,RST2022-100,"1329 E JACKSON RD, SOUTH BEND, IN, 46614",FALSE,NA,NA
Arborist License,ENVIROVISION,3205   BREMEN HWY,RENEWED,MISHAWAKA,IN,46546,574-259-4357,2020,1722ARBOR2020,"3205   BREMEN HWY, MISHAWAKA, IN, 46546",FALSE,41.6318214,-86.1769213
Automotive Repair License,LIL J BUENO'S BODY SHOP & AUTO REPAIR,1636 PRAIRIE AVE,RENEWED,SOUTH BEND,IN,46613,574-234-6880,2022,AUT2022-024,"1636 PRAIRIE AVE, SOUTH BEND, IN, 46613",FALSE,41.6570619,-86.2658417
Restaurant (A-M) License,Brunos Pizza,"2202 MISHAWAKA AVE, SOUTH BEND, IN, 46615",READY2ISSU,SOUTH BEND,IN,46615,574-288-3320,2023,RST2023-300,"2202 MISHAWAKA AVE, SOUTH BEND, IN, 46615, SOUTH BEND, IN, 46615",FALSE,NA,NA
Restaurant (A-M) License,MACRI'S ITALIAN KITCHEN,315 W  IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-231-0200,2020,4744RESTAM2020,"315 W  IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.628657,-86.277703
Restaurant (A-M) License,MICHOACAN SUPERMARKET,425 S Main St,RENEWED,SOUTH BEND,IN,46601,574-234-1546,2021,RST2021-279,"425 S Main St, SOUTH BEND, IN, 46601",FALSE,41.6714554,-86.2524973
Alarm Agent License,"Shoff Security Services, Inc.","722 Middleton Run Rd, Elkhart, Indiana, 46516",RENEWED,Elkhart,IN,46516,574-293-6157,2021,ALR2021-018,"722 Middleton Run Rd, Elkhart, Indiana, 46516, Elkhart, IN, 46516",FALSE,NA,NA
Restaurant (A-M) License,CHOCOLATE CAFE'- DTSB,"122 S MICHIGAN ST, SOUTH BEND, 46601",READY2ISSU,SOUTH BEND,IN,46601,574-233-2577,2023,RST2023-100,"122 S MICHIGAN ST, SOUTH BEND, 46601, SOUTH BEND, IN, 46601",FALSE,41.6825204,-86.2504095
Restaurant (A-M) License,MC DONALD'S 2982,3221 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-400-0775,2021,RST2021-027,"3221 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Automotive Repair License,"LINE DESIGNS OF INDIANA, INC",2408 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-234-3456,2022,AUT2022-041,"2408 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6493875,-86.2493587
Automotive Repair License,Miami Auto Glass,918 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-289-2393,2021,AUT2021-050,"918 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6649668,-86.2500001
Restaurant (N-Z) License,Okasan Reman & Bao,1837 South Bend Ave.,ACTIVE,South Bend,IN,46637,574-999-3133,2023,RST2023-338,"1837 South Bend Ave., South Bend, IN, 46637",FALSE,41.6974374,-86.2209576
Restaurant (N-Z) License,NICK'S PATIO RESTAURANT,1710 N  IRONWOOD DR,RENEWED,SOUTH BEND,IN,46635,574-277-7400,2020,1004RESTZ2020,"1710 N  IRONWOOD DR, SOUTH BEND, IN, 46635",FALSE,41.698377,-86.216114
Restaurant (A-M) License,MURPHY'S BACKYARD PUB,3601 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-233-5968,2021,RST2021-071,"3601 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.665814,-86.196979
Lawn Parking License,1208 N. TWYCKENHAM DR.,1208 N. TWYCKENHAM DR.,RENEWED,SOUTH BEND,IN,46617,NA,2022,LWN2022-008,"1208 N. TWYCKENHAM DR., SOUTH BEND, IN, 46617",FALSE,41.6911123,-86.2258471
Restaurant (A-M) License,BENDIX FAMILY RESTAURANT,4920 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-287-3037,2023,RST2023-172,"4920 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.672028,-86.316875
Restaurant (N-Z) License,Mariscos Playa Azul,"3307 W Sample St, South Bend, Indiana, 46619",ACTIVE,South Bend,IN,46619,574-383-5668,2023,RST2023-163,"3307 W Sample St, South Bend, Indiana, 46619, South Bend, IN, 46619",FALSE,NA,NA
Alarm Agent License,PER MAR SECURITY & RESEARCH CO,730 S BYRKIT AVE,RENEWED,MISHAWAKA,IN,46544,563-359-3200,2021,ALR2021-016,"730 S BYRKIT AVE, MISHAWAKA, IN, 46544",FALSE,41.6576975,-86.1575147
Restaurant (N-Z) License,V.F.W. POST 9820,4829 LINDEN AVE,ACTIVE,SOUTH BEND,IN,46619,574-237-9820,2023,RST2023-034,"4829 LINDEN AVE, SOUTH BEND, IN, 46619",FALSE,41.6791411,-86.3155882
Restaurant (A-M) License,ANGELOS FAMILY RESTAURANT,4301 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46614,574-299-9614,2023,RST2023-135,"4301 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.630792,-86.250963
Restaurant (N-Z) License,STUDIO RUMBA 305,1116 S MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-217-6507,2021,RST2021-267,"1116 S MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.662994,-86.2515869
Automotive Repair License,Cleve's Transmission & Clutch,506 N. Olive St.,IN REVIEW,SOUTH BEND,IN,46628,574-876-6026,2022,AUT2022-068,"506 N. Olive St., SOUTH BEND, IN, 46628",FALSE,41.6818065,-86.28344
Restaurant (A-M) License,BURGER KING #6574,4852 W WESTERN AVE,ACTIVE,South Bend,IN,46619,574-232-3622,2023,RST2023-169,"4852 W WESTERN AVE, South Bend, IN, 46619",FALSE,41.6714168,-86.3142392
Automotive Repair License,VALLEY TRANSMISSION,702 COLLEGE ST,RENEWED,SOUTH BEND,IN,46628,574-233-5894,2022,AUT2022-047,"702 COLLEGE ST, SOUTH BEND, IN, 46628",FALSE,41.6840165,-86.2757493
Massage Therapist License,SANDRA R DLUGOSZ,4346 GARDEN OAK DR.,RENEWED,SOUTH BEND,IN,46628,574-250-0299,2022,MST2022-008,"4346 GARDEN OAK DR., SOUTH BEND, IN, 46628",FALSE,41.7351605,-86.2854921
Restaurant (N-Z) License,THE LOCAL CUP,1009 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-232-9182,2022,RST2022-410,"1009 PORTAGE AVE, SOUTH BEND, IN, 46616",FALSE,41.688237,-86.2629285
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-066,"1311 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6926804,-86.2246801
Restaurant (A-M) License,Martin's Super Markets #11,"926 ERSKINE PLZ, SOUTH BEND, IN, 46614",ACTIVE,South Bend,IN,46614,574-291-3571,2023,RST2023-125,"926 ERSKINE PLZ, SOUTH BEND, IN, 46614, South Bend, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,AVERY'S,643   LA PORTE AVE,INACTIVE,SOUTH BEND,IN,46619,574-514-9864,2020,8671RESTAM2020,"643   LA PORTE AVE, SOUTH BEND, IN, 46619",FALSE,41.682719,-86.271326
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN #071156,5011 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46601,574-287-7676,2022,RST2022-264,"5011 W WESTERN AVE, SOUTH BEND, IN, 46601",FALSE,41.6725782,-86.3180799
Restaurant (A-M) License,Embassy Suites - Amenity Deck,"1140 E ANGELA BLVD, SOUTH BEND, 46617",RENEWED,South Bend,IN,46617,574-400-2600,2022,RST2022-086,"1140 E ANGELA BLVD, SOUTH BEND, 46617, South Bend, IN, 46617",FALSE,NA,NA
Restaurant (N-Z) License,NEW CHINA HY RESTAURANT LLC,920 ERSKINE PLZ,RENEWED,SOUTH BEND,IN,46614,574-291-9324,2021,RST2021-119,"920 ERSKINE PLZ, SOUTH BEND, IN, 46614",FALSE,41.6278072,-86.2378285
Alarm Agent License,ADT COMMERCIAL LLC,11918 Exit 5 parkway,ACTIVE,FISHERS,IN,46037,NA,2023,ALR2023-007,"11918 Exit 5 parkway, FISHERS, IN, 46037",FALSE,39.9571645,-86.0026574
Restaurant (N-Z) License,V.F.W. POST 9820,4829 LINDEN AVE,RENEWED,SOUTH BEND,IN,46619,574-237-9820,2020,3366RESTZ2020,"4829 LINDEN AVE, SOUTH BEND, IN, 46619",FALSE,41.6791411,-86.3155882
Automotive Repair License,"Veldman's Service Center, Inc","5222 W WESTERN AVE, SOUTH BEND, IN, 46619",ACTIVE,SOUTH BEND,IN,46619,574-287-7236,2023,AUT2023-025,"5222 W WESTERN AVE, SOUTH BEND, IN, 46619, SOUTH BEND, IN, 46619",FALSE,NA,NA
Donation Box License,THE SALVATION ARMY,2009 S Bend Ave,RENEWED,GARY,IN,46402,219-882-9377,2020,6638DBAC2020,"2009 S Bend Ave, GARY, IN, 46402",FALSE,41.6056979,-87.3968858
Restaurant (N-Z) License,STARLITE PIZZA,932 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-291-5757,2021,RST2021-266,"932 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6291858,-86.2383504
Restaurant (A-M) License,LINCOLN WAY GRILL 2,1003 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46616,574-233-7814,2020,RST2020-055,"1003 LINCOLN WAY W, SOUTH BEND, IN, 46616",FALSE,41.666636,-86.2385554
Arborist License,ARBORCARE INC,12750 KRN RD.,ACTIVE,MISHAWAKA,IN,46544,574-255-7173,2023,ARB2023-010,"12750 KRN RD., MISHAWAKA, IN, 46544",FALSE,NA,NA
Restaurant (A-M) License,LA CENTRAL BAKERY,3021 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-289-2550,2020,3043RESTAM2020,"3021 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6722199,-86.2921559
Restaurant (A-M) License,The Breakfast Club South Bend,"231 S MICHIGAN ST, SOUTH BEND, IN, 46601",RENEWED,SOUTH BEND,IN,46601,574-514-0803,2022,RST2022-470,"231 S MICHIGAN ST, SOUTH BEND, IN, 46601, SOUTH BEND, IN, 46601",FALSE,41.6825204,-86.2504095
Arborist License,K & R TREE SERVICE,1724 S  GRANT ST,RENEWED,SOUTH BEND,IN,46613,574-220-4437,2020,3303ARBOR2020,"1724 S  GRANT ST, SOUTH BEND, IN, 46613",FALSE,41.6554418,-86.2784554
Restaurant (N-Z) License,"Southhold, LLC",121 S DR MARTIN LUTHER KING JR BLVD,RENEWED,South Bend,IN,46601,574-237-7777,2022,RST2022-009,"121 S DR MARTIN LUTHER KING JR BLVD, South Bend, IN, 46601",FALSE,41.6753784,-86.2490605
Restaurant (A-M) License,BAMBER SUPERETTE INC.,1145 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-287-1871,2022,RST2022-010,"1145 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6668209,-86.2331653
Restaurant (A-M) License,HOLY CROSS SCHOOL,920 WILBER ST,RENEWED,SOUTH BEND,IN,46628,574-233-2179,2021,RST2021-014,"920 WILBER ST, SOUTH BEND, IN, 46628",FALSE,41.6871477,-86.2738597
Alarm Agent License,COMCAST BUSINESS SMARTOFFICE,1701 John F Kennedy Blvd,CLOSED,PHILADELPHIA,PA,19103,215-286-3300,2020,7965ALARM2020,"1701 John F Kennedy Blvd, PHILADELPHIA, PA, 19103",FALSE,39.9547157,-75.1684999
Type Description,Case Name,Location,Status,People - City,People - State,People - Zip,People - Work Phone,2020,Number,"Location, People - City, People - State, People - Zip",FALSE,NA,NA
Secondhand Store License,LOOKY LOU'S RESALE SHOP,2904 MISHAWAKA AVE,EXPIRED,SOUTH BEND,IN,46615,574-406-4729,2021,SHN2021-018,"2904 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.665636,-86.206378
Restaurant (A-M) License,LONG JOHN SILVER'S #42,920 E  IRELAND RD,RENEWED,BABYLON,NY,11702,574-291-1220,2020,8307RESTAM2020,"920 E  IRELAND RD, BABYLON, NY, 11702",FALSE,NA,NA
Massage Therapist License,SHANNON MARIE ANDERSON,52797 JUNIPER RD.,ACTIVE,SOUTH BEND,IN,46637,NA,2023,MST2023-009,"52797 JUNIPER RD., SOUTH BEND, IN, 46637",FALSE,NA,NA
Restaurant (A-M) License,HEALTHY HAPPIES,2043 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-800-9687,2022,RST2022-429,"2043 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6295686,-86.2189336
Restaurant (N-Z) License,RINCON HUASTECO,2702 W WESTERN AVE,INACTIVE,SOUTH BEND,IN,46619,574-855-1903,2020,RST2020-043,"2702 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6718559,-86.287891
Lawn Parking License,1927 OAK PARK DR,1927 OAK PARK DR,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-045,"1927 OAK PARK DR, SOUTH BEND, IN, 46617",FALSE,41.6935349,-86.2197147
Alarm Agent License,WALGREEN CO CENTRAL STATION,1411 LAKE COOK RD.,RENEWED,DEERFIELD,IL,60015,800-695-9904,2022,ALR2022-020,"1411 LAKE COOK RD., DEERFIELD, IL, 60015",FALSE,42.1518432,-87.8590207
Lawn Parking License,621 E. NAPOLEON ST.,621 E. NAPOLEON ST.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-004,"621 E. NAPOLEON ST., SOUTH BEND, IN, 46617",FALSE,41.6911343,-86.2441079
Restaurant (A-M) License,Morris Park Country Club,"2200 MCKINLEY AVE, SOUTH BEND, IN, 46615",ACTIVE,South Bend,IN,46615,574-233-9474,2023,RST2023-060,"2200 MCKINLEY AVE, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Restaurant (N-Z) License,SUBWAY,323 N EDDY ST,ACTIVE,SOUTH BEND,IN,46617,574-289-2000,2023,RST2023-030,"323 N EDDY ST, SOUTH BEND, IN, 46617",FALSE,41.680268,-86.2356429
Automotive Repair License,Miami Auto Glass,918 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46601,574-289-2393,2023,AUT2023-019,"918 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6649668,-86.2500001
Lawn Parking License,515 PEASHWAY ST.,515 PEASHWAY ST.,RENEWED,SOUTH BEND,IN,46617,NA,2022,LWN2022-012,"515 PEASHWAY ST., SOUTH BEND, IN, 46617",FALSE,41.692319,-86.2433224
Restaurant (N-Z) License,Sonic Drive In Of South Bend,"3906 PORTAGE RD, SOUTH BEND, 46628",ACTIVE,South Bend,IN,46628,5742739340,2023,RST2023-314,"3906 PORTAGE RD, SOUTH BEND, 46628, South Bend, IN, 46628",FALSE,NA,NA
Mobile Food Vendor (A-M) 1 Year License,JUNBUGGIES LLC,51928 Orange Rd,RENEWED,SOUTH BEND,IN,46628,574-514-7002,2020,MFV2020-007,"51928 Orange Rd, SOUTH BEND, IN, 46628",FALSE,NA,NA
Automotive Repair License,SPEEDY'S AUTO  LLC,4001 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-234-1809,2023,AUT2023-045,"4001 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.664722,-86.303362
Restaurant (N-Z) License,HAMMES BOOKSTORE & CAFE,"1234 N EDDY ST 101, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,574-287-6954,2021,RST2021-272,"1234 N EDDY ST 101, SOUTH BEND, IN, 46617, SOUTH BEND, IN, 46617",FALSE,NA,NA
Restaurant (A-M) License,BURGER KING #7055,2171 SOUTH BEND AVE,RENEWED,South Bend,IN,46637,574-273-2220,2022,RST2022-188,"2171 SOUTH BEND AVE, South Bend, IN, 46637",FALSE,41.7003019,-86.217081
Restaurant (N-Z) License,ELKS LODGE #235,3535   MCKINLEY AVE,RENEWED,SOUTH BEND,IN,46615,574-233-1139,2020,1036RESTZ2020,"3535   MCKINLEY AVE, SOUTH BEND, IN, 46615",FALSE,41.6803537,-86.198683
Restaurant (A-M) License,JENNY'S BAKERY,740 S WALNUT ST,RENEWED,SOUTH BEND,IN,46619,574-283-0211,2020,1429RESTAM2020,"740 S WALNUT ST, SOUTH BEND, IN, 46619",FALSE,41.666937,-86.270852
Restaurant (A-M) License,BAKER'S DOZEN BAKESHOP,2909 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-289-9559,2023,RST2023-230,"2909 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6650871,-86.290206
Automotive Repair License,MARK'S AUTO CARE CENTER,2604 S MAIN ST,RENEWED,SOUTH BEND,IN,46614,574-232-0330,2022,AUT2022-019,"2604 S MAIN ST, SOUTH BEND, IN, 46614",FALSE,41.6475855,-86.2507669
Restaurant (A-M) License,BOURBON ST. PIZZA,902 S  TWYCKENHAM DR,RENEWED,SOUTH BEND,IN,46615,574-355-3534,2020,8497RESTAM2020,"902 S  TWYCKENHAM DR, SOUTH BEND, IN, 46615",FALSE,41.665468,-86.225449
Restaurant (N-Z) License,REAL Services Meals on Wheels Kitchen,"121 W GARST ST, SOUTH BEND, 46601",RENEWED,South Bend,IN,46601,574-256-1649,2022,RST2022-139,"121 W GARST ST, SOUTH BEND, 46601, South Bend, IN, 46601",FALSE,NA,NA
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,ACTIVE,SOUTH BEND,IN,46613,574-233-9599,2023,TXV2023-002,"2107 S. MICHIGAN ST., SOUTH BEND, IN, 46613",FALSE,41.6519917,-86.2502962
Lawn Parking License,1209 E. CORBY,1209 E. CORBY,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-028,"1209 E. CORBY, SOUTH BEND, IN, 46617",FALSE,41.6871386,-86.2370227
Hotel and Motel License,CANDLEWOOD SUITES,3916   LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-968-1072,2020,2651HOTEL2020,"3916   LINCOLN WAY, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Arborist License,B1 TREE SERVICE,24685 NASH AVE.,ACTIVE,SOUTH BEND,IN,46619,574-246-0993,2023,ARB2023-025,"24685 NASH AVE., SOUTH BEND, IN, 46619",FALSE,NA,NA
Restaurant (A-M) License,BENDIX FAMILY RESTAURANT,4920 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-287-3037,2020,819RESTAM2020,"4920 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.672028,-86.316875
Rubbish/Garbage Removal License,AMERICAN TRASH LLC,309 S LOGAN ST,ABT2EXP,SOUHT BEND,IN,46615,574-383-5642,2022,GAR2022-005,"309 S LOGAN ST, SOUHT BEND, IN, 46615",FALSE,NA,NA
